ds,y
2024-01-01 00:00:00,6573
2024-01-01 01:00:00,7332
2024-01-01 02:00:00,6183
2024-01-01 03:00:00,4903
2024-01-01 04:00:00,3164
2024-01-01 05:00:00,1512
2024-01-01 06:00:00,1525
2024-01-01 07:00:00,1373
2024-01-01 08:00:00,1191
2024-01-01 09:00:00,1423
2024-01-01 10:00:00,2250
2024-01-01 11:00:00,2960
2024-01-01 12:00:00,3735
2024-01-01 13:00:00,3726
2024-01-01 14:00:00,4294
2024-01-01 15:00:00,4628
2024-01-01 16:00:00,4245
2024-01-01 17:00:00,3797
2024-01-01 18:00:00,3689
2024-01-01 19:00:00,3239
2024-01-01 20:00:00,2792
2024-01-01 21:00:00,2450
2024-01-01 22:00:00,2170
2024-01-01 23:00:00,1466
2024-01-02 00:00:00,955
2024-01-02 01:00:00,422
2024-01-02 02:00:00,240
2024-01-02 03:00:00,234
2024-01-02 04:00:00,284
2024-01-02 05:00:00,639
2024-01-02 06:00:00,1445
2024-01-02 07:00:00,2878
2024-01-02 08:00:00,3531
2024-01-02 09:00:00,3919
2024-01-02 10:00:00,4157
2024-01-02 11:00:00,4524
2024-01-02 12:00:00,4621
2024-01-02 13:00:00,4762
2024-01-02 14:00:00,5172
2024-01-02 15:00:00,5366
2024-01-02 16:00:00,5255
2024-01-02 17:00:00,5441
2024-01-02 18:00:00,5192
2024-01-02 19:00:00,4240
2024-01-02 20:00:00,3573
2024-01-02 21:00:00,3623
2024-01-02 22:00:00,2756
2024-01-02 23:00:00,1942
2024-01-03 00:00:00,1196
2024-01-03 01:00:00,459
2024-01-03 02:00:00,289
2024-01-03 03:00:00,190
2024-01-03 04:00:00,242
2024-01-03 05:00:00,624
2024-01-03 06:00:00,1457
2024-01-03 07:00:00,2619
2024-01-03 08:00:00,3771
2024-01-03 09:00:00,4310
2024-01-03 10:00:00,4391
2024-01-03 11:00:00,4724
2024-01-03 12:00:00,4986
2024-01-03 13:00:00,5272
2024-01-03 14:00:00,5593
2024-01-03 15:00:00,5630
2024-01-03 16:00:00,5696
2024-01-03 17:00:00,5725
2024-01-03 18:00:00,5803
2024-01-03 19:00:00,5051
2024-01-03 20:00:00,4372
2024-01-03 21:00:00,3942
2024-01-03 22:00:00,3235
2024-01-03 23:00:00,2472
2024-01-04 00:00:00,1152
2024-01-04 01:00:00,534
2024-01-04 02:00:00,333
2024-01-04 03:00:00,269
2024-01-04 04:00:00,252
2024-01-04 05:00:00,559
2024-01-04 06:00:00,1465
2024-01-04 07:00:00,2684
2024-01-04 08:00:00,3951
2024-01-04 09:00:00,4469
2024-01-04 10:00:00,4721
2024-01-04 11:00:00,4840
2024-01-04 12:00:00,5250
2024-01-04 13:00:00,5374
2024-01-04 14:00:00,6015
2024-01-04 15:00:00,7101
2024-01-04 16:00:00,7533
2024-01-04 17:00:00,8449
2024-01-04 18:00:00,8619
2024-01-04 19:00:00,7144
2024-01-04 20:00:00,6331
2024-01-04 21:00:00,6632
2024-01-04 22:00:00,5426
2024-01-04 23:00:00,3348
2024-01-05 00:00:00,1828
2024-01-05 01:00:00,930
2024-01-05 02:00:00,523
2024-01-05 03:00:00,380
2024-01-05 04:00:00,247
2024-01-05 05:00:00,622
2024-01-05 06:00:00,1621
2024-01-05 07:00:00,3033
2024-01-05 08:00:00,4209
2024-01-05 09:00:00,4853
2024-01-05 10:00:00,5163
2024-01-05 11:00:00,5351
2024-01-05 12:00:00,5583
2024-01-05 13:00:00,5862
2024-01-05 14:00:00,6291
2024-01-05 15:00:00,6701
2024-01-05 16:00:00,6816
2024-01-05 17:00:00,7595
2024-01-05 18:00:00,7718
2024-01-05 19:00:00,6478
2024-01-05 20:00:00,5291
2024-01-05 21:00:00,5416
2024-01-05 22:00:00,5525
2024-01-05 23:00:00,4685
2024-01-06 00:00:00,3714
2024-01-06 01:00:00,2771
2024-01-06 02:00:00,1836
2024-01-06 03:00:00,1211
2024-01-06 04:00:00,654
2024-01-06 05:00:00,419
2024-01-06 06:00:00,802
2024-01-06 07:00:00,1333
2024-01-06 08:00:00,2128
2024-01-06 09:00:00,3218
2024-01-06 10:00:00,4085
2024-01-06 11:00:00,4733
2024-01-06 12:00:00,5413
2024-01-06 13:00:00,5680
2024-01-06 14:00:00,5881
2024-01-06 15:00:00,6577
2024-01-06 16:00:00,6634
2024-01-06 17:00:00,6512
2024-01-06 18:00:00,6376
2024-01-06 19:00:00,6300
2024-01-06 20:00:00,4766
2024-01-06 21:00:00,5042
2024-01-06 22:00:00,5526
2024-01-06 23:00:00,5094
2024-01-07 00:00:00,3862
2024-01-07 01:00:00,2712
2024-01-07 02:00:00,1918
2024-01-07 03:00:00,1109
2024-01-07 04:00:00,537
2024-01-07 05:00:00,393
2024-01-07 06:00:00,674
2024-01-07 07:00:00,858
2024-01-07 08:00:00,1468
2024-01-07 09:00:00,2146
2024-01-07 10:00:00,3165
2024-01-07 11:00:00,4071
2024-01-07 12:00:00,4240
2024-01-07 13:00:00,4340
2024-01-07 14:00:00,4377
2024-01-07 15:00:00,4583
2024-01-07 16:00:00,4692
2024-01-07 17:00:00,4257
2024-01-07 18:00:00,4058
2024-01-07 19:00:00,3575
2024-01-07 20:00:00,3248
2024-01-07 21:00:00,2952
2024-01-07 22:00:00,2430
2024-01-07 23:00:00,1556
2024-01-08 00:00:00,986
2024-01-08 01:00:00,422
2024-01-08 02:00:00,211
2024-01-08 03:00:00,200
2024-01-08 04:00:00,241
2024-01-08 05:00:00,594
2024-01-08 06:00:00,1579
2024-01-08 07:00:00,3171
2024-01-08 08:00:00,4018
2024-01-08 09:00:00,4122
2024-01-08 10:00:00,4160
2024-01-08 11:00:00,4172
2024-01-08 12:00:00,4487
2024-01-08 13:00:00,4544
2024-01-08 14:00:00,5119
2024-01-08 15:00:00,5347
2024-01-08 16:00:00,5216
2024-01-08 17:00:00,5947
2024-01-08 18:00:00,6845
2024-01-08 19:00:00,5135
2024-01-08 20:00:00,4147
2024-01-08 21:00:00,3729
2024-01-08 22:00:00,2795
2024-01-08 23:00:00,2518
2024-01-09 00:00:00,1007
2024-01-09 01:00:00,506
2024-01-09 02:00:00,235
2024-01-09 03:00:00,173
2024-01-09 04:00:00,244
2024-01-09 05:00:00,604
2024-01-09 06:00:00,1521
2024-01-09 07:00:00,3451
2024-01-09 08:00:00,4762
2024-01-09 09:00:00,4818
2024-01-09 10:00:00,4802
2024-01-09 11:00:00,5485
2024-01-09 12:00:00,5235
2024-01-09 13:00:00,5466
2024-01-09 14:00:00,6344
2024-01-09 15:00:00,6606
2024-01-09 16:00:00,6110
2024-01-09 17:00:00,7735
2024-01-09 18:00:00,8036
2024-01-09 19:00:00,5582
2024-01-09 20:00:00,4571
2024-01-09 21:00:00,5206
2024-01-09 22:00:00,3644
2024-01-09 23:00:00,1503
2024-01-10 00:00:00,807
2024-01-10 01:00:00,408
2024-01-10 02:00:00,322
2024-01-10 03:00:00,287
2024-01-10 04:00:00,287
2024-01-10 05:00:00,640
2024-01-10 06:00:00,1532
2024-01-10 07:00:00,3579
2024-01-10 08:00:00,4867
2024-01-10 09:00:00,4680
2024-01-10 10:00:00,4633
2024-01-10 11:00:00,4867
2024-01-10 12:00:00,5213
2024-01-10 13:00:00,5612
2024-01-10 14:00:00,6042
2024-01-10 15:00:00,6178
2024-01-10 16:00:00,5968
2024-01-10 17:00:00,7035
2024-01-10 18:00:00,7172
2024-01-10 19:00:00,6124
2024-01-10 20:00:00,5802
2024-01-10 21:00:00,5587
2024-01-10 22:00:00,4291
2024-01-10 23:00:00,2745
2024-01-11 00:00:00,1396
2024-01-11 01:00:00,718
2024-01-11 02:00:00,410
2024-01-11 03:00:00,296
2024-01-11 04:00:00,308
2024-01-11 05:00:00,630
2024-01-11 06:00:00,1547
2024-01-11 07:00:00,3473
2024-01-11 08:00:00,5100
2024-01-11 09:00:00,5079
2024-01-11 10:00:00,4921
2024-01-11 11:00:00,5262
2024-01-11 12:00:00,5659
2024-01-11 13:00:00,5699
2024-01-11 14:00:00,6188
2024-01-11 15:00:00,6501
2024-01-11 16:00:00,6397
2024-01-11 17:00:00,7580
