level,zone_id,ds,yhat,yhat_lower,yhat_upper
city,-1,2024-04-01 00:00:00,1640.8,457.7,2761.5
city,-1,2024-04-01 01:00:00,787.3,0.0,1888.4
city,-1,2024-04-01 02:00:00,287.3,0.0,1439.7
city,-1,2024-04-01 03:00:00,125.6,0.0,1247.6
city,-1,2024-04-01 04:00:00,120.0,0.0,1173.8
city,-1,2024-04-01 05:00:00,402.1,0.0,1461.9
city,-1,2024-04-01 06:00:00,1469.5,254.7,2611.1
city,-1,2024-04-01 07:00:00,3177.3,2056.8,4366.8
city,-1,2024-04-01 08:00:00,4525.2,3444.3,5602.2
city,-1,2024-04-01 09:00:00,4940.3,3830.6,6050.7
city,-1,2024-04-01 10:00:00,5152.2,3980.5,6214.0
city,-1,2024-04-01 11:00:00,5407.0,4219.9,6497.1
city,-1,2024-04-01 12:00:00,5737.3,4686.1,6858.2
city,-1,2024-04-01 13:00:00,5670.9,4516.9,6698.5
city,-1,2024-04-01 14:00:00,5813.8,4613.6,6949.0
city,-1,2024-04-01 15:00:00,5723.0,4610.6,6804.3
city,-1,2024-04-01 16:00:00,5582.4,4493.9,6681.8
city,-1,2024-04-01 17:00:00,6058.3,4908.1,7198.4
city,-1,2024-04-01 18:00:00,6304.3,5279.9,7424.1
city,-1,2024-04-01 19:00:00,5312.6,4160.9,6458.3
city,-1,2024-04-01 20:00:00,4562.2,3358.9,5652.5
city,-1,2024-04-01 21:00:00,4582.0,3446.5,5689.6
city,-1,2024-04-01 22:00:00,4090.7,3019.1,5235.5
city,-1,2024-04-01 23:00:00,2892.1,1814.9,3937.0
city,-1,2024-04-02 00:00:00,1742.7,626.9,2874.3
city,-1,2024-04-02 01:00:00,944.9,0.0,1991.6
city,-1,2024-04-02 02:00:00,468.3,0.0,1637.7
city,-1,2024-04-02 03:00:00,298.4,0.0,1383.6
city,-1,2024-04-02 04:00:00,260.2,0.0,1331.4
city,-1,2024-04-02 05:00:00,496.4,0.0,1557.6
city,-1,2024-04-02 06:00:00,1517.0,473.7,2701.3
city,-1,2024-04-02 07:00:00,3193.1,2106.3,4319.9
city,-1,2024-04-02 08:00:00,4542.1,3415.8,5678.7
city,-1,2024-04-02 09:00:00,5003.3,3973.3,6133.7
city,-1,2024-04-02 10:00:00,5308.0,4198.9,6409.3
city,-1,2024-04-02 11:00:00,5699.6,4564.9,6833.4
city,-1,2024-04-02 12:00:00,6202.5,5102.3,7278.1
city,-1,2024-04-02 13:00:00,6333.5,5239.6,7460.1
city,-1,2024-04-02 14:00:00,6678.7,5560.6,7707.2
city,-1,2024-04-02 15:00:00,6778.3,5617.3,7875.3
city,-1,2024-04-02 16:00:00,6797.1,5665.2,7887.6
city,-1,2024-04-02 17:00:00,7383.1,6255.5,8449.1
city,-1,2024-04-02 18:00:00,7682.3,6578.5,8865.2
city,-1,2024-04-02 19:00:00,6685.6,5586.4,7787.5
city,-1,2024-04-02 20:00:00,5867.3,4785.1,6983.2
city,-1,2024-04-02 21:00:00,5761.4,4701.1,6884.9
city,-1,2024-04-02 22:00:00,5103.8,4035.6,6292.4
city,-1,2024-04-02 23:00:00,3715.3,2626.9,4838.2
city,-1,2024-04-03 00:00:00,2367.2,1333.6,3554.5
city,-1,2024-04-03 01:00:00,1377.9,323.7,2480.6
city,-1,2024-04-03 02:00:00,732.8,0.0,1899.3
city,-1,2024-04-03 03:00:00,429.5,0.0,1542.6
city,-1,2024-04-03 04:00:00,301.0,0.0,1432.6
city,-1,2024-04-03 05:00:00,492.1,0.0,1674.7
city,-1,2024-04-03 06:00:00,1508.8,363.9,2630.6
city,-1,2024-04-03 07:00:00,3216.7,2113.4,4298.6
city,-1,2024-04-03 08:00:00,4628.6,3497.0,5727.6
city,-1,2024-04-03 09:00:00,5175.7,4046.6,6312.8
city,-1,2024-04-03 10:00:00,5576.2,4453.3,6641.5
city,-1,2024-04-03 11:00:00,6063.2,4986.5,7257.1
city,-1,2024-04-03 12:00:00,6653.9,5519.6,7731.4
city,-1,2024-04-03 13:00:00,6861.5,5822.8,7944.4
city,-1,2024-04-03 14:00:00,7267.6,6121.3,8363.3
city,-1,2024-04-03 15:00:00,7413.2,6318.6,8483.7
city,-1,2024-04-03 16:00:00,7463.5,6293.8,8552.4
city,-1,2024-04-03 17:00:00,8065.7,6953.7,9154.9
city,-1,2024-04-03 18:00:00,8371.0,7246.1,9454.5
city,-1,2024-04-03 19:00:00,7375.6,6302.6,8539.6
city,-1,2024-04-03 20:00:00,6548.6,5449.5,7657.8
city,-1,2024-04-03 21:00:00,6421.4,5311.2,7493.3
city,-1,2024-04-03 22:00:00,5734.1,4577.7,6862.8
city,-1,2024-04-03 23:00:00,4307.0,3221.1,5472.2
city,-1,2024-04-04 00:00:00,2907.4,1787.2,4013.7
city,-1,2024-04-04 01:00:00,1852.6,826.3,2888.1
city,-1,2024-04-04 02:00:00,1129.5,0.0,2285.4
city,-1,2024-04-04 03:00:00,738.6,0.0,1875.3
city,-1,2024-04-04 04:00:00,518.7,0.0,1634.0
city,-1,2024-04-04 05:00:00,620.0,0.0,1775.8
city,-1,2024-04-04 06:00:00,1553.5,402.3,2557.8
city,-1,2024-04-04 07:00:00,3192.7,2106.2,4289.8
city,-1,2024-04-04 08:00:00,4560.3,3390.7,5675.6
city,-1,2024-04-04 09:00:00,5094.8,4017.2,6255.9
city,-1,2024-04-04 10:00:00,5513.7,4403.4,6692.1
city,-1,2024-04-04 11:00:00,6049.2,4959.0,7150.6
city,-1,2024-04-04 12:00:00,6715.2,5567.4,7772.2
city,-1,2024-04-04 13:00:00,7021.6,5917.4,8129.7
city,-1,2024-04-04 14:00:00,7539.8,6359.5,8624.1
city,-1,2024-04-04 15:00:00,7804.1,6701.6,8906.0
city,-1,2024-04-04 16:00:00,7970.1,6900.3,9072.3
city,-1,2024-04-04 17:00:00,8673.9,7517.6,9797.4
city,-1,2024-04-04 18:00:00,9063.1,7907.8,10167.5
city,-1,2024-04-04 19:00:00,8133.0,6963.6,9258.6
city,-1,2024-04-04 20:00:00,7343.7,6256.1,8454.7
city,-1,2024-04-04 21:00:00,7223.9,6119.4,8358.9
city,-1,2024-04-04 22:00:00,6519.8,5426.0,7657.0
city,-1,2024-04-04 23:00:00,5054.6,3993.4,6223.9
city,-1,2024-04-05 00:00:00,3595.4,2483.8,4707.9
city,-1,2024-04-05 01:00:00,2461.0,1331.1,3566.8
city,-1,2024-04-05 02:00:00,1640.7,457.2,2701.5
city,-1,2024-04-05 03:00:00,1136.6,53.6,2325.4
city,-1,2024-04-05 04:00:00,789.1,0.0,1853.4
city,-1,2024-04-05 05:00:00,748.5,0.0,1799.3
city,-1,2024-04-05 06:00:00,1524.9,370.2,2716.3
city,-1,2024-04-05 07:00:00,2993.8,1836.6,4134.1
city,-1,2024-04-05 08:00:00,4185.9,3115.5,5286.0
city,-1,2024-04-05 09:00:00,4547.2,3346.5,5606.5
city,-1,2024-04-05 10:00:00,4800.7,3714.5,5947.0
city,-1,2024-04-05 11:00:00,5187.4,4123.1,6268.1
city,-1,2024-04-05 12:00:00,5732.7,4669.3,6716.0
city,-1,2024-04-05 13:00:00,5960.0,4886.5,7028.8
city,-1,2024-04-05 14:00:00,6449.3,5380.7,7575.2
city,-1,2024-04-05 15:00:00,6744.8,5639.6,7895.3
city,-1,2024-04-05 16:00:00,7005.3,5902.6,8094.3
city,-1,2024-04-05 17:00:00,7863.3,6727.5,9093.3
city,-1,2024-04-05 18:00:00,8462.6,7348.3,9528.0
city,-1,2024-04-05 19:00:00,7789.5,6667.9,8856.9
city,-1,2024-04-05 20:00:00,7280.0,6144.5,8395.6
city,-1,2024-04-05 21:00:00,7438.5,6334.3,8641.1
city,-1,2024-04-05 22:00:00,6992.3,5836.1,8106.9
city,-1,2024-04-05 23:00:00,5741.8,4582.2,6829.2
city,-1,2024-04-06 00:00:00,4430.8,3340.2,5548.3
city,-1,2024-04-06 01:00:00,3362.0,2244.7,4485.1
city,-1,2024-04-06 02:00:00,2517.6,1467.1,3653.2
city,-1,2024-04-06 03:00:00,1900.9,818.8,3011.9
city,-1,2024-04-06 04:00:00,1363.1,224.2,2392.2
city,-1,2024-04-06 05:00:00,1072.3,0.0,2257.1
city,-1,2024-04-06 06:00:00,1561.2,403.0,2660.4
city,-1,2024-04-06 07:00:00,2734.8,1620.9,3896.4
city,-1,2024-04-06 08:00:00,3656.7,2586.1,4798.9
city,-1,2024-04-06 09:00:00,3802.6,2681.1,4869.5
city,-1,2024-04-06 10:00:00,3914.2,2727.5,4990.4
city,-1,2024-04-06 11:00:00,4245.3,3178.7,5384.4
city,-1,2024-04-06 12:00:00,4825.5,3698.9,5919.3
city,-1,2024-04-06 13:00:00,5174.8,4110.2,6212.9
city,-1,2024-04-06 14:00:00,5855.5,4632.9,6904.6
city,-1,2024-04-06 15:00:00,6391.5,5316.3,7461.9
city,-1,2024-04-06 16:00:00,6913.8,5746.2,7927.1
city,-1,2024-04-06 17:00:00,8023.4,6869.8,9148.6
city,-1,2024-04-06 18:00:00,8840.8,7677.4,9923.0
city,-1,2024-04-06 19:00:00,8334.5,7263.2,9423.9
city,-1,2024-04-06 20:00:00,7920.6,6747.7,9121.6
city,-1,2024-04-06 21:00:00,8096.5,6953.2,9130.4
city,-1,2024-04-06 22:00:00,7599.2,6524.8,8701.7
city,-1,2024-04-06 23:00:00,6243.0,5120.2,7409.5
city,-1,2024-04-07 00:00:00,4788.7,3706.2,5826.4
city,-1,2024-04-07 01:00:00,3561.7,2537.9,4650.6
city,-1,2024-04-07 02:00:00,2568.2,1435.0,3736.1
city,-1,2024-04-07 03:00:00,1832.7,695.3,2977.9
city,-1,2024-04-07 04:00:00,1221.7,205.9,2348.5
city,-1,2024-04-07 05:00:00,909.3,0.0,2067.1
city,-1,2024-04-07 06:00:00,1422.6,302.1,2492.0
city,-1,2024-04-07 07:00:00,2654.3,1586.6,3794.8
city,-1,2024-04-07 08:00:00,3651.2,2535.4,4739.7
city,-1,2024-04-07 09:00:00,3864.6,2709.2,4993.3
city,-1,2024-04-07 10:00:00,4005.0,2910.5,5138.7
city,-1,2024-04-07 11:00:00,4298.7,3180.8,5434.0
city,-1,2024-04-07 12:00:00,4754.6,3679.2,5843.5
city,-1,2024-04-07 13:00:00,4882.6,3752.5,5999.3
city,-1,2024-04-07 14:00:00,5242.3,4146.4,6396.4
city,-1,2024-04-07 15:00:00,5371.1,4291.7,6442.3
city,-1,2024-04-07 16:00:00,5422.9,4183.9,6563.9
city,-1,2024-04-07 17:00:00,6029.3,4849.5,7047.5
city,-1,2024-04-07 18:00:00,6354.3,5261.2,7452.2
city,-1,2024-04-07 19:00:00,5413.0,4332.0,6524.7
city,-1,2024-04-07 20:00:00,4656.0,3474.4,5806.3
city,-1,2024-04-07 21:00:00,4612.9,3503.4,5754.6
city,-1,2024-04-07 22:00:00,4049.6,2880.0,5159.2
city,-1,2024-04-07 23:00:00,2792.3,1593.4,3911.3
zone,161,2024-04-01 00:00:00,0.0,0.0,35.4
zone,161,2024-04-01 01:00:00,0.0,0.0,21.9
zone,161,2024-04-01 02:00:00,0.0,0.0,27.2
zone,161,2024-04-01 03:00:00,0.0,0.0,55.3
zone,161,2024-04-01 04:00:00,2.7,0.0,75.1
zone,161,2024-04-01 05:00:00,20.7,0.0,89.2
zone,161,2024-04-01 06:00:00,50.5,0.0,125.4
zone,161,2024-04-01 07:00:00,96.0,18.2,162.5
zone,161,2024-04-01 08:00:00,134.7,67.8,203.3
zone,161,2024-04-01 09:00:00,173.3,105.5,240.4
zone,161,2024-04-01 10:00:00,200.7,125.5,266.4
zone,161,2024-04-01 11:00:00,239.9,168.5,310.8
zone,161,2024-04-01 12:00:00,261.4,188.4,330.0
zone,161,2024-04-01 13:00:00,274.0,200.4,341.1
zone,161,2024-04-01 14:00:00,307.5,239.6,376.1
zone,161,2024-04-01 15:00:00,304.6,238.2,375.0
zone,161,2024-04-01 16:00:00,334.5,264.5,399.0
zone,161,2024-04-01 17:00:00,395.3,324.7,462.5
